date,county,state,fips,cases,deaths
1,Snohomish County,WA,53061,1,0
1,Cook County,IL,17031,2,0
1,Orange County,CA,06059,1,0
1,Maricopa County,AZ,04013,1,0
1,Los Angeles County,CA,06037,1,0
1,Santa Clara County,CA,06085,1,0
2,Maricopa County,AZ,04013,1,0
2,Los Angeles County,CA,06037,1,0
2,Orange County,CA,06059,1,0
2,Santa Clara County,CA,06085,4,0
2,Cook County,IL,17031,3,0
2,Suffolk County,MA,25025,1,0
2,Snohomish County,WA,53061,2,0
2,San Francisco County,CA,06075,3,0
2,Dane County,WI,55025,1,0
2,San Diego County,CA,06073,1,0
2,Bexar County,TX,48029,11,0
2,Douglas County,NE,31055,13,0
2,Humboldt County,CA,06023,1,0
2,Sacramento County,CA,06067,3,0
2,Solano County,CA,06095,11,0
2,Spokane County,WA,53063,4,0
2,Salt Lake County,UT,49035,1,0
2,Marin County,CA,06041,1,0
2,Napa County,CA,06055,1,0
2,Sonoma County,CA,06097,1,0
2,Washington County,OR,41067,1,0
2,King County,WA,53033,4,1
3,Maricopa County,AZ,04013,791,8
3,Alameda County,CA,06001,334,7
3,Humboldt County,CA,06023,27,0
3,Los Angeles County,CA,06037,3011,54
3,Marin County,CA,06041,102,4
3,Napa County,CA,06055,16,1
3,Orange County,CA,06059,502,7
3,Sacramento County,CA,06067,224,7
3,San Diego County,CA,06073,734,9
3,San Francisco County,CA,06075,400,6
3,Santa Clara County,CA,06085,890,31
3,Solano County,CA,06095,54,0
3,Sonoma County,CA,06097,85,1
3,Hillsborough County,FL,12057,305,3
3,Manatee County,FL,12081,53,2
3,Cook County,IL,17031,4496,61
3,Suffolk County,MA,25025,1373,8
3,Douglas County,NE,31055,113,1
3,New York County,NY,36061,43518,1475
3,Washington County,OR,41067,186,3
3,Bexar County,TX,48029,207,9
3,Salt Lake County,UT,49035,396,0
3,King County,WA,53033,2332,152
3,Snohomish County,WA,53061,1228,32
3,Spokane County,WA,53063,140,4
3,Dane County,WI,55025,194,2
3,Placer County,CA,06061,67,2
3,San Mateo County,CA,06081,309,10
3,Fulton County,GA,13121,599,18
3,Norfolk County,MA,25021,738,13
3,Grafton County,NH,33009,35,0
